Time,Power,Current
0,0.026250004,0.010500002
0.171028966,0.025086291,0.010034516
0.621040529,0.025082976,0.01003319
1.071043776,0.025077015,0.010030806
1.548135315,0.025083646,0.010033458
1.919163939,0.025102869,0.010041147
1.998147714,0.0250737,0.01002948
2.098140214,0.025079474,0.01003179
2.198140714,0.025075264,0.010030106
2.298141214,0.025071763,0.010028705
2.398135714,0.025066696,0.010026678
2.50727028,0.025051162,0.010020465
2.59814128,0.025065504,0.010026202
2.70301428,0.025045238,0.010018095
2.79814644,0.025070049,0.01002802
2.89815194,0.025062002,0.010024801
2.99816166,0.02506163,0.010024652
3.09815516,0.025052205,0.010020882
3.19815816,0.025048032,0.010019213
3.29815366,0.025046952,0.010018781
3.39815266,0.025037713,0.010015085
3.49816468,0.025026686,0.010010675
3.59815468,0.025056042,0.010022417
3.69816568,0.025047325,0.01001893
3.79815394,0.025029331,0.010011733
3.89817394,0.025036484,0.010014594
3.99816637,0.025015697,0.010006279
4.09816087,0.025025643,0.010010257
4.19815937,0.025017783,0.010007113
4.29815887,0.025148399,0.010059359
4.39815837,0.024932688,0.009973075
4.49817577,0.0249092,0.00996368
4.59816177,0.024926048,0.009970419
4.69817577,0.024942178,0.009976871
4.79816044,0.024932181,0.009972872
4.89816444,0.024931168,0.009972467
4.99817005,0.02492713,0.009970852
5.09816605,0.024931831,0.009972733
5.19816805,0.024951003,0.009980401
5.29817305,0.024956823,0.009982729
5.39816205,0.024938157,0.009975263
5.49818052,0.024928949,0.00997158
5.59816702,0.024930714,0.009972285
5.69817552,0.024946686,0.009978674
5.79816144,0.024938595,0.009975438
5.89816844,0.024947124,0.009978849
5.99817534,0.024910073,0.009964029
6.09816984,0.024932583,0.009973033
6.19817334,0.024927724,0.00997109
6.47076742,0.024931605,0.009972642
6.54817542,0.024943121,0.009977248
6.64817392,0.024932933,0.009973173
6.74817194,0.024944327,0.009977731
6.84817394,0.024944067,0.009977627
6.94817704,0.024950253,0.009980101
7.04817554,0.024935643,0.009974257
7.14817204,0.024935328,0.009974131
7.24817554,0.024936481,0.009974592
7.34816904,0.024955249,0.0099821
7.44818674,0.024964355,0.009985742
7.54817524,0.02494646,0.009978584
7.64817874,0.024928215,0.009971286
7.74817944,0.024956125,0.00998245
7.84817544,0.024956125,0.00998245
7.94818044,0.024954272,0.009981709
8.04818044,0.024948488,0.009979395
8.14817294,0.024924283,0.009969713
8.24818094,0.024952034,0.009980814
8.34817594,0.024950218,0.009980087
8.44818966,0.024954639,0.009981856
8.54817916,0.024955268,0.009982107
8.64818416,0.024951214,0.009980486
8.74818244,0.024966155,0.009986462
8.84818044,0.04082676,0.016330704
8.9481901,0.039613955,0.015845582
9.0481851,0.040303282,0.016121313
9.1481766,0.040527098,0.016210839
9.2481891,0.040841103,0.016336441
9.3481761,0.040970556,0.016388223
9.44819542,0.039812103,0.015924841
9.54818692,0.040448122,0.016179249
9.64818892,0.033677034,0.013470814
9.74818944,0.033631064,0.013452426
9.84818894,0.033740103,0.013496041
9.94819369,0.035609864,0.014243945
10.04819069,0.036124289,0.014449716
10.14818769,0.035832301,0.01433292
10.24819219,0.035640784,0.014256313
10.34818269,0.035687983,0.014275193
10.44820107,0.035212897,0.014085159
10.54819007,0.040178709,0.016071483
10.64819407,0.12796931,0.051187724
10.74819494,0.121482126,0.048592851
11.11920692,0.127548017,0.051019207
11.19819892,0.138012394,0.055204958
11.29819642,0.131509304,0.052603722
11.39819042,0.133127831,0.053251132
11.49821043,0.136375353,0.054550141
11.59819543,0.140827969,0.056331187
11.69820593,0.138784871,0.055513948
11.79819344,0.149530359,0.059812143
11.89819694,0.138143972,0.055257589
11.99820691,0.134289935,0.053715974
12.09820141,0.13931185,0.05572474
12.19821891,0.147896986,0.059158795
12.29819991,0.141216554,0.056486621
12.39819441,0.147697963,0.059079185
12.49821202,0.144650526,0.057860211
12.59820052,0.143397711,0.057359084
12.69820952,0.142327324,0.056930929
12.79820094,0.119308308,0.047723323
12.89820094,0.113795958,0.045518383
12.99821162,0.10662578,0.042650312
13.09820512,0.11878185,0.04751274
13.19820362,0.110146217,0.044058487
13.29820362,0.037301965,0.014920786
13.39819962,0.034080297,0.013632119
13.49821998,0.03373187,0.013492748
13.59820248,0.033706017,0.013482407
13.69821648,0.036427081,0.014570832
